,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,final_score,school,sex,address,famsize,Pstatus,Fjob,reason,guardian,nursery,higher,internet,romantic,schoolsup,familysup,paidsup,nosup
0,18,4,4,2,2,0,4,3,4,1,1,3,4,11,GP,F,U,GT3,A,teacher,course,mother,yes,yes,no,no,1,0,0,0
1,17,1,1,1,2,0,5,3,3,1,1,3,2,11,GP,F,U,GT3,T,other,course,father,no,yes,yes,no,0,1,0,0
2,15,1,1,1,2,0,4,3,2,2,3,3,6,12,GP,F,U,LE3,T,other,other,mother,yes,yes,yes,no,1,0,0,0
3,15,4,2,1,3,0,3,2,2,1,1,5,0,14,GP,F,U,GT3,T,services,home,mother,yes,yes,yes,yes,0,1,0,0
4,16,3,3,1,2,0,4,3,2,1,2,5,0,13,GP,F,U,GT3,T,other,home,father,yes,yes,no,no,0,1,0,0
5,16,4,3,1,2,0,5,4,2,1,2,5,6,13,GP,M,U,LE3,T,other,reputation,mother,yes,yes,yes,no,0,1,0,0
6,16,2,2,1,2,0,4,4,4,1,1,3,0,13,GP,M,U,LE3,T,other,home,mother,yes,yes,yes,no,0,0,0,1
7,17,4,4,2,2,0,4,1,4,1,1,1,2,13,GP,F,U,GT3,A,teacher,home,mother,yes,yes,no,no,1,1,0,0
8,15,3,2,1,2,0,4,2,2,1,1,1,0,17,GP,M,U,LE3,A,other,home,mother,yes,yes,yes,no,0,1,0,0
9,15,3,4,1,2,0,5,5,1,1,1,5,0,13,GP,M,U,GT3,T,other,home,mother,yes,yes,yes,no,0,1,0,0
10,15,4,4,1,2,0,3,3,3,1,2,2,2,14,GP,F,U,GT3,T,health,reputation,mother,yes,yes,yes,no,0,1,0,0
11,15,2,1,3,3,0,5,2,2,1,1,4,0,13,GP,F,U,GT3,T,other,reputation,father,yes,yes,yes,no,0,1,0,0
12,15,4,4,1,1,0,4,3,3,1,3,5,0,12,GP,M,U,LE3,T,services,course,father,yes,yes,yes,no,0,1,0,0
13,15,4,3,2,2,0,5,4,3,1,2,3,0,13,GP,M,U,GT3,T,other,course,mother,yes,yes,yes,no,0,1,0,0
14,15,2,2,1,3,0,4,5,2,1,1,3,0,15,GP,M,U,GT3,A,other,home,other,yes,yes,yes,yes,0,1,0,0
15,16,4,4,1,1,0,4,4,4,1,2,2,6,17,GP,F,U,GT3,T,other,home,mother,yes,yes,yes,no,0,1,0,0
16,16,4,4,1,3,0,3,2,3,1,2,2,10,14,GP,F,U,GT3,T,services,reputation,mother,yes,yes,yes,no,0,1,0,0
17,16,3,3,3,2,0,5,3,2,1,1,4,2,14,GP,F,U,GT3,T,other,reputation,mother,yes,yes,no,no,1,1,0,0
18,17,3,2,1,1,3,5,5,5,2,4,5,2,7,GP,M,U,GT3,T,services,course,mother,yes,yes,yes,no,0,1,1,0
19,16,4,3,1,1,0,3,1,3,1,3,5,6,12,GP,M,U,LE3,T,other,home,father,yes,yes,yes,no,0,0,0,1
20,15,4,3,1,2,0,4,4,1,1,1,1,0,14,GP,M,U,GT3,T,other,reputation,mother,yes,yes,yes,no,0,0,0,1
21,15,4,4,1,1,0,5,4,2,1,1,5,0,12,GP,M,U,GT3,T,health,other,father,yes,yes,yes,no,0,1,1,0
22,16,4,2,1,2,0,4,5,1,1,3,5,0,14,GP,M,U,LE3,T,other,course,mother,yes,yes,yes,no,0,0,0,1
23,16,2,2,2,2,0,5,4,4,2,4,5,2,10,GP,M,U,LE3,T,other,reputation,mother,yes,yes,yes,no,0,1,0,0
24,15,2,4,1,3,0,4,3,2,1,1,5,2,10,GP,F,R,GT3,T,health,course,mother,yes,yes,yes,no,1,1,0,0
25,16,2,2,1,1,0,1,2,2,1,3,5,6,12,GP,F,U,GT3,T,services,home,mother,no,yes,yes,no,0,1,0,0
26,15,2,2,1,1,0,4,2,2,1,2,5,8,12,GP,M,U,GT3,T,other,home,mother,yes,yes,yes,no,0,1,0,0
27,15,4,2,1,1,0,2,2,4,2,4,1,0,11,GP,M,U,GT3,T,services,other,mother,yes,yes,yes,no,0,0,0,1
28,16,3,4,1,2,0,5,3,3,1,1,5,2,13,GP,M,U,LE3,A,other,home,mother,yes,yes,yes,no,1,1,1,0
29,16,4,4,1,2,0,4,4,5,5,5,5,4,12,GP,M,U,GT3,T,teacher,home,mother,yes,yes,yes,yes,0,1,1,0
30,15,4,4,1,2,0,5,4,2,3,4,5,0,11,GP,M,U,GT3,T,services,home,mother,no,yes,yes,no,0,1,1,0
31,15,4,4,2,2,0,4,3,1,1,1,5,2,15,GP,M,U,GT3,T,services,reputation,mother,yes,yes,yes,no,0,1,0,0
32,15,4,3,1,2,0,4,5,2,1,1,5,0,15,GP,M,R,GT3,T,at_home,course,mother,yes,yes,yes,yes,0,1,0,0
33,15,3,3,1,2,0,5,3,2,1,1,2,0,12,GP,M,U,LE3,T,other,course,mother,no,yes,yes,no,0,0,0,1
34,16,3,2,1,1,0,5,4,3,1,1,5,4,12,GP,M,U,GT3,T,other,home,mother,no,yes,yes,no,0,1,0,0
35,15,2,3,2,1,0,3,5,1,1,1,5,4,11,GP,F,U,GT3,T,other,other,father,yes,yes,no,no,0,1,0,0
36,15,4,3,1,3,0,5,4,3,1,1,4,0,14,GP,M,U,LE3,T,services,home,mother,yes,yes,yes,no,0,1,0,0
37,16,4,4,2,3,0,2,4,3,1,1,5,4,13,GP,M,R,GT3,A,teacher,reputation,mother,yes,yes,yes,yes,0,1,0,0
38,15,3,4,1,3,0,4,3,2,1,1,5,2,12,GP,F,R,GT3,T,health,course,mother,yes,yes,yes,no,1,1,0,0
39,15,2,2,1,1,0,4,3,1,1,1,2,8,12,GP,F,R,GT3,T,other,reputation,mother,yes,yes,no,no,1,1,0,0
40,16,2,2,2,2,0,3,3,3,1,2,3,16,10,GP,F,U,LE3,T,other,home,mother,no,yes,yes,yes,0,1,0,0
41,15,4,4,1,1,0,5,4,3,2,4,5,8,11,GP,M,U,LE3,T,other,home,other,no,yes,yes,yes,0,1,0,0
42,15,4,4,1,2,0,4,3,3,1,1,5,0,15,GP,M,U,GT3,T,teacher,course,father,yes,yes,yes,no,0,1,0,0
43,15,2,2,1,1,0,5,4,1,1,1,1,0,10,GP,M,U,GT3,T,services,course,father,yes,yes,yes,no,1,1,0,0
44,16,2,2,2,2,1,4,3,3,2,2,5,14,11,GP,F,U,LE3,T,at_home,course,father,yes,yes,yes,no,1,0,0,0
45,15,4,3,1,2,0,5,2,2,1,1,5,4,11,GP,F,U,LE3,A,other,course,mother,yes,yes,yes,yes,1,1,1,0
46,16,3,3,1,2,0,2,3,5,1,4,3,6,13,GP,F,U,LE3,A,services,home,mother,yes,yes,yes,no,0,1,0,0
